States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,prakasam,2020,4,TOTAL,16176867,41852443493.515396
andhra-pradesh,anantapur,2020,4,TOTAL,20996384,49732610814.26222
andhra-pradesh,ysr,2020,4,TOTAL,15676878,42572974713.44026
andhra-pradesh,west godavari,2020,4,TOTAL,15674762,40310975762.603455
andhra-pradesh,kurnool,2020,4,TOTAL,18737323,44718203115.22612
andhra-pradesh,chittoor,2020,4,TOTAL,29590411,61505711149.79541
andhra-pradesh,guntur,2020,4,TOTAL,26136538,60641872021.25432
andhra-pradesh,krishna,2020,4,TOTAL,27981050,64461504667.60723
andhra-pradesh,east godavari,2021,1,TOTAL,26190701,60027984987.96951
andhra-pradesh,srikakulam,2021,1,TOTAL,11160473,26486623313.092724
andhra-pradesh,spsr nellore,2021,1,TOTAL,22541428,52210333201.53073
andhra-pradesh,vizianagaram,2021,1,TOTAL,10514582,24153782497.243248
andhra-pradesh,visakhapatnam,2021,1,TOTAL,48248923,95308386037.84721
andhra-pradesh,prakasam,2021,1,TOTAL,15175395,41396223622.174774
andhra-pradesh,anantapur,2021,1,TOTAL,20102957,48353870395.01808
andhra-pradesh,ysr,2021,1,TOTAL,15374473,42570919448.50447
andhra-pradesh,west godavari,2021,1,TOTAL,16015685,42124030669.36126
andhra-pradesh,kurnool,2021,1,TOTAL,17918524,44941629659.56964
andhra-pradesh,chittoor,2021,1,TOTAL,29342609,60947491846.66089
andhra-pradesh,guntur,2021,1,TOTAL,27445045,64207987853.108406
andhra-pradesh,krishna,2021,1,TOTAL,29717175,69715406644.53485
andhra-pradesh,east godavari,2021,2,TOTAL,31717908,74604325863.66068
andhra-pradesh,srikakulam,2021,2,TOTAL,13546232,32298129544.540867
andhra-pradesh,spsr nellore,2021,2,TOTAL,30290406,72283071757.09679
andhra-pradesh,vizianagaram,2021,2,TOTAL,12689494,29140685236.830723
andhra-pradesh,visakhapatnam,2021,2,TOTAL,54390299,114439012713.35336
andhra-pradesh,prakasam,2021,2,TOTAL,19944047,54535328043.04135
andhra-pradesh,anantapur,2021,2,TOTAL,25123346,60987487571.279915
andhra-pradesh,ysr,2021,2,TOTAL,18457361,52523527031.02132
andhra-pradesh,west godavari,2021,2,TOTAL,20950964,57233116236.18796
andhra-pradesh,kurnool,2021,2,TOTAL,21972396,56659287474.995804
andhra-pradesh,chittoor,2021,2,TOTAL,34344902,73654690122.43158
andhra-pradesh,guntur,2021,2,TOTAL,32968819,82356914463.83287
andhra-pradesh,krishna,2021,2,TOTAL,36370960,90021923049.96454
andhra-pradesh,east godavari,2021,3,TOTAL,39572714,89380370072.7078
andhra-pradesh,srikakulam,2021,3,TOTAL,15639768,34836400769.876816
andhra-pradesh,spsr nellore,2021,3,TOTAL,34411958,77839676988.30869
andhra-pradesh,vizianagaram,2021,3,TOTAL,14510005,31383541628.212524
