States,Pincodes,Transaction_Year,Quarters,registeredUsers
assam,kamrup,2018,3,7916
assam,tinsukia,2018,3,7732
assam,jorhat,2018,3,6759
assam,dhubri,2018,3,6651
assam,kamrup metropolitan,2018,4,17802
assam,barpeta,2018,4,13976
assam,nagaon,2018,4,12969
assam,cachar,2018,4,11283
assam,dibrugarh,2018,4,10937
assam,sonitpur,2018,4,10374
assam,kamrup,2018,4,10054
assam,tinsukia,2018,4,9765
assam,jorhat,2018,4,8801
assam,dhubri,2018,4,8559
assam,kamrup metropolitan,2019,1,21003
assam,barpeta,2019,1,16624
assam,nagaon,2019,1,15399
assam,cachar,2019,1,13630
assam,dibrugarh,2019,1,12724
assam,sonitpur,2019,1,12282
assam,kamrup,2019,1,11982
assam,tinsukia,2019,1,11437
assam,jorhat,2019,1,10474
assam,dhubri,2019,1,10045
assam,kamrup metropolitan,2019,2,24543
assam,barpeta,2019,2,19460
assam,nagaon,2019,2,17922
assam,cachar,2019,2,15681
assam,dibrugarh,2019,2,14452
assam,sonitpur,2019,2,14373
assam,kamrup,2019,2,13970
assam,tinsukia,2019,2,13366
assam,jorhat,2019,2,12874
assam,dhubri,2019,2,12313
assam,kamrup metropolitan,2019,3,27912
assam,nagaon,2019,3,22162
assam,barpeta,2019,3,20205
assam,cachar,2019,3,17651
assam,dibrugarh,2019,3,16289
assam,sonitpur,2019,3,16065
assam,kamrup,2019,3,15923
assam,tinsukia,2019,3,15432
assam,jorhat,2019,3,15231
assam,dhubri,2019,3,13989
assam,kamrup metropolitan,2019,4,30419
assam,nagaon,2019,4,24236
assam,barpeta,2019,4,21980
assam,cachar,2019,4,19306
assam,sonitpur,2019,4,17946
assam,dibrugarh,2019,4,17515
assam,kamrup,2019,4,17500
assam,tinsukia,2019,4,17023
assam,jorhat,2019,4,16755
assam,golaghat,2019,4,15378
assam,kamrup metropolitan,2020,1,33205
assam,nagaon,2020,1,26607
assam,barpeta,2020,1,24106
assam,cachar,2020,1,21242
assam,sonitpur,2020,1,19871
assam,dibrugarh,2020,1,19355
assam,kamrup,2020,1,19193
assam,tinsukia,2020,1,18666
assam,jorhat,2020,1,18552
