States,District,registeredUsers,appOpens,Transaction_Year,Quarters
arunachal-pradesh,lepa rada,710,0,2019,1
arunachal-pradesh,lower dibang valley,2314,0,2019,1
arunachal-pradesh,longding,1152,0,2019,1
arunachal-pradesh,west siang,2656,0,2019,1
arunachal-pradesh,kamle,141,0,2019,1
arunachal-pradesh,upper siang,1125,0,2019,1
arunachal-pradesh,kurung kumey,385,0,2019,1
arunachal-pradesh,siang,651,0,2019,1
arunachal-pradesh,kra daadi,350,0,2019,1
arunachal-pradesh,changlang,5210,0,2019,1
arunachal-pradesh,pakke kessang,162,0,2019,1
arunachal-pradesh,east siang,5899,0,2019,1
arunachal-pradesh,upper subansiri,1906,0,2019,1
arunachal-pradesh,tawang,5023,0,2019,1
arunachal-pradesh,namsai,3153,0,2019,1
arunachal-pradesh,lower subansiri,2463,11644,2019,2
arunachal-pradesh,tirap,2697,12779,2019,2
arunachal-pradesh,papum pare,32800,163673,2019,2
arunachal-pradesh,anjaw,1175,4993,2019,2
arunachal-pradesh,lower siang,1457,7737,2019,2
arunachal-pradesh,dibang valley,241,258,2019,2
arunachal-pradesh,west kameng,9782,73944,2019,2
arunachal-pradesh,shi yomi,225,24,2019,2
arunachal-pradesh,east kameng,1075,4146,2019,2
arunachal-pradesh,lohit,5485,32550,2019,2
arunachal-pradesh,lepa rada,903,4196,2019,2
arunachal-pradesh,lower dibang valley,2842,12669,2019,2
arunachal-pradesh,longding,1420,13256,2019,2
arunachal-pradesh,west siang,3393,15972,2019,2
arunachal-pradesh,kamle,212,972,2019,2
arunachal-pradesh,upper siang,1372,2710,2019,2
arunachal-pradesh,kurung kumey,481,2171,2019,2
arunachal-pradesh,siang,831,3209,2019,2
arunachal-pradesh,kra daadi,440,2639,2019,2
arunachal-pradesh,changlang,6884,37725,2019,2
arunachal-pradesh,pakke kessang,211,1237,2019,2
arunachal-pradesh,east siang,7319,34596,2019,2
arunachal-pradesh,upper subansiri,2355,9043,2019,2
arunachal-pradesh,tawang,5908,32103,2019,2
arunachal-pradesh,namsai,3914,18627,2019,2
arunachal-pradesh,lower subansiri,2928,42877,2019,3
arunachal-pradesh,tirap,3099,49222,2019,3
