States,District,Transaction_Year,Quarters,registeredUsers
arunachal-pradesh,lower dibang valley,2022,3,12668
arunachal-pradesh,lower subansiri,2022,3,12085
arunachal-pradesh,papum pare,2022,4,130306
arunachal-pradesh,west kameng,2022,4,32237
arunachal-pradesh,changlang,2022,4,31196
arunachal-pradesh,east siang,2022,4,30033
arunachal-pradesh,lohit,2022,4,22359
arunachal-pradesh,tawang,2022,4,18003
arunachal-pradesh,west siang,2022,4,16816
arunachal-pradesh,namsai,2022,4,16322
arunachal-pradesh,lower dibang valley,2022,4,13188
arunachal-pradesh,lower subansiri,2022,4,12630
assam,kamrup metropolitan,2018,1,87336
assam,dibrugarh,2018,1,21182
assam,barpeta,2018,1,20485
assam,nagaon,2018,1,19619
assam,cachar,2018,1,19567
assam,sonitpur,2018,1,18986
assam,jorhat,2018,1,16442
assam,tinsukia,2018,1,15998
assam,kamrup,2018,1,15241
assam,dhubri,2018,1,11421
assam,kamrup metropolitan,2018,2,124720
assam,dibrugarh,2018,2,30527
assam,barpeta,2018,2,29882
assam,nagaon,2018,2,29412
assam,cachar,2018,2,29381
assam,sonitpur,2018,2,28409
assam,tinsukia,2018,2,23900
assam,jorhat,2018,2,23683
assam,kamrup,2018,2,23595
assam,dhubri,2018,2,16701
assam,kamrup metropolitan,2018,3,164101
assam,barpeta,2018,3,41158
assam,cachar,2018,3,40888
assam,dibrugarh,2018,3,40711
assam,nagaon,2018,3,40687
assam,sonitpur,2018,3,38797
assam,kamrup,2018,3,33197
assam,tinsukia,2018,3,32870
assam,jorhat,2018,3,32134
assam,dhubri,2018,3,22705
assam,kamrup metropolitan,2018,4,214212
assam,barpeta,2018,4,55068
assam,nagaon,2018,4,54395
assam,cachar,2018,4,53209
assam,dibrugarh,2018,4,52539
assam,sonitpur,2018,4,51420
assam,kamrup,2018,4,44868
assam,tinsukia,2018,4,42624
assam,jorhat,2018,4,41100
assam,dhubri,2018,4,30132
assam,kamrup metropolitan,2019,1,255112
assam,barpeta,2019,1,67729
assam,nagaon,2019,1,66306
