Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Merchant payments,arunachal-pradesh,2020,4,TOTAL,167387,156682926.02384603
Financial Services,arunachal-pradesh,2020,4,TOTAL,1749,2391651.8783250954
Others,arunachal-pradesh,2020,4,TOTAL,4079,4055324.315454754
Peer-to-peer payments,arunachal-pradesh,2021,1,TOTAL,566209,3460488558.9436507
Recharge & bill payments,arunachal-pradesh,2021,1,TOTAL,450649,142358376.9003836
Merchant payments,arunachal-pradesh,2021,1,TOTAL,155966,204958020.0891498
Financial Services,arunachal-pradesh,2021,1,TOTAL,1558,2672460.4740365944
Others,arunachal-pradesh,2021,1,TOTAL,3074,3301662.6094231335
Peer-to-peer payments,arunachal-pradesh,2021,2,TOTAL,762946,4000960152.0755496
Recharge & bill payments,arunachal-pradesh,2021,2,TOTAL,556680,165579844.25105897
Merchant payments,arunachal-pradesh,2021,2,TOTAL,243375,283709438.5363142
Financial Services,arunachal-pradesh,2021,2,TOTAL,1582,2761076.7934988844
Others,arunachal-pradesh,2021,2,TOTAL,3755,3415105.3379601175
Peer-to-peer payments,arunachal-pradesh,2021,3,TOTAL,986088,5033603845.032885
Recharge & bill payments,arunachal-pradesh,2021,3,TOTAL,600102,187390578.30403775
Merchant payments,arunachal-pradesh,2021,3,TOTAL,314658,449869060.7842621
Financial Services,arunachal-pradesh,2021,3,TOTAL,1934,3348547.8272713376
Others,arunachal-pradesh,2021,3,TOTAL,4185,3912143.3503634185
Peer-to-peer payments,arunachal-pradesh,2021,4,TOTAL,1227616,6022733378.120082
Recharge & bill payments,arunachal-pradesh,2021,4,TOTAL,633248,207784816.33218512
Merchant payments,arunachal-pradesh,2021,4,TOTAL,521447,704195694.9939187
Financial Services,arunachal-pradesh,2021,4,TOTAL,2386,3933557.2795471298
Others,arunachal-pradesh,2021,4,TOTAL,5901,4862905.885615055
Peer-to-peer payments,arunachal-pradesh,2022,1,TOTAL,1403584,6670641250.45945
Merchant payments,arunachal-pradesh,2022,1,TOTAL,720803,917155358.7177179
Recharge & bill payments,arunachal-pradesh,2022,1,TOTAL,670576,231933129.00412333
Financial Services,arunachal-pradesh,2022,1,TOTAL,3053,3359625.792926075
Others,arunachal-pradesh,2022,1,TOTAL,6052,5002264.113148138
Peer-to-peer payments,arunachal-pradesh,2022,2,TOTAL,1751568,7627061474.687715
Merchant payments,arunachal-pradesh,2022,2,TOTAL,1108353,1255513517.3639429
Recharge & bill payments,arunachal-pradesh,2022,2,TOTAL,688770,241162643.19480157
Financial Services,arunachal-pradesh,2022,2,TOTAL,2466,4063469.0998270046
Others,arunachal-pradesh,2022,2,TOTAL,5768,3864269.879579009
Peer-to-peer payments,arunachal-pradesh,2022,3,TOTAL,1967086,7365427284.274204
Merchant payments,arunachal-pradesh,2022,3,TOTAL,1316326,1413247143.4889917
Recharge & bill payments,arunachal-pradesh,2022,3,TOTAL,649322,238448083.80779752
Financial Services,arunachal-pradesh,2022,3,TOTAL,1997,4763324.776043448
Others,arunachal-pradesh,2022,3,TOTAL,4687,3224948.7015704075
Peer-to-peer payments,arunachal-pradesh,2022,4,TOTAL,2251135,7768088687.67791
Merchant payments,arunachal-pradesh,2022,4,TOTAL,1704968,1669602212.9174638
Recharge & bill payments,arunachal-pradesh,2022,4,TOTAL,669151,239412553.61214688
Financial Services,arunachal-pradesh,2022,4,TOTAL,2617,3785469.3993366556
