States,Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
arunachal-pradesh,west kameng,2018,1,TOTAL,4207,9841038.918801479
arunachal-pradesh,lohit,2018,1,TOTAL,3286,5671981.37541513
arunachal-pradesh,east siang,2018,1,TOTAL,2704,4457038.562331891
arunachal-pradesh,changlang,2018,1,TOTAL,2114,4578762.301169472
arunachal-pradesh,tawang,2018,1,TOTAL,2112,3137887.500695069
arunachal-pradesh,longding,2018,1,TOTAL,2097,3667031.7501450847
arunachal-pradesh,west siang,2018,1,TOTAL,2041,5020173.997662732
arunachal-pradesh,lower subansiri,2018,1,TOTAL,1955,6492923.793813149
arunachal-pradesh,namsai,2018,1,TOTAL,1865,2638135.148973316
arunachal-pradesh,papum pare,2018,2,TOTAL,7878,19894634.32236063
arunachal-pradesh,west kameng,2018,2,TOTAL,7239,20302894.32407169
arunachal-pradesh,lohit,2018,2,TOTAL,6046,11116134.491696559
arunachal-pradesh,east siang,2018,2,TOTAL,4689,11109804.760347228
arunachal-pradesh,changlang,2018,2,TOTAL,4436,10757634.641186869
arunachal-pradesh,tawang,2018,2,TOTAL,4342,9787595.363164986
arunachal-pradesh,longding,2018,2,TOTAL,4159,10355129.796387024
arunachal-pradesh,namsai,2018,2,TOTAL,3885,10332844.690670341
arunachal-pradesh,west siang,2018,2,TOTAL,3638,13733030.966675913
arunachal-pradesh,lower siang,2018,2,TOTAL,3486,8901023.6818946
arunachal-pradesh,papum pare,2018,3,TOTAL,13489,28577947.494984522
arunachal-pradesh,west kameng,2018,3,TOTAL,10508,33766761.060124576
arunachal-pradesh,lohit,2018,3,TOTAL,9777,18868814.474471845
arunachal-pradesh,east siang,2018,3,TOTAL,8636,14623073.028337255
arunachal-pradesh,changlang,2018,3,TOTAL,6870,19935455.777625345
arunachal-pradesh,tawang,2018,3,TOTAL,6672,16204421.801473193
arunachal-pradesh,longding,2018,3,TOTAL,6434,18213474.582743015
arunachal-pradesh,namsai,2018,3,TOTAL,6307,16330131.581704907
arunachal-pradesh,west siang,2018,3,TOTAL,6191,14657152.42532165
arunachal-pradesh,tirap,2018,3,TOTAL,5120,16131802.077896373
arunachal-pradesh,papum pare,2018,4,TOTAL,18305,50770919.03443284
arunachal-pradesh,west kameng,2018,4,TOTAL,14891,50578761.54109968
arunachal-pradesh,lohit,2018,4,TOTAL,11990,28553763.558065224
arunachal-pradesh,changlang,2018,4,TOTAL,10791,42561249.91245334
arunachal-pradesh,east siang,2018,4,TOTAL,8743,23841863.530102827
arunachal-pradesh,tawang,2018,4,TOTAL,8727,28710303.165459957
arunachal-pradesh,namsai,2018,4,TOTAL,8156,19785304.795617044
arunachal-pradesh,longding,2018,4,TOTAL,7660,17851253.026180793
arunachal-pradesh,tirap,2018,4,TOTAL,7520,18988989.141452394
