States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
punjab,2019,4,TOTAL,13698625,29989802246.19331
assam,2019,4,TOTAL,6760510,15281983895.512564
jharkhand,2019,4,TOTAL,18248618,28147748376.677704
odisha,2019,4,TOTAL,64995633,79769373632.04843
bihar,2019,4,TOTAL,43530314,93313426577.80905
kerala,2019,4,TOTAL,12498637,21151326637.805134
karnataka,2019,4,TOTAL,237796252,295047143447.23846
chandigarh,2019,4,TOTAL,1850915,4152513817.939354
telangana,2019,4,TOTAL,163572258,280746765547.7425
himachal pradesh,2019,4,TOTAL,3516646,7271163537.248161
west bengal,2019,4,TOTAL,96805838,88203610254.64601
gujarat,2019,4,TOTAL,42547632,76690662054.91542
sikkim,2019,4,TOTAL,767070,1176509601.6562185
nagaland,2019,4,TOTAL,317170,834537138.3487777
mizoram,2019,4,TOTAL,125239,368689350.6344881
chhattisgarh,2019,4,TOTAL,16305758,27143788737.21397
jammu & kashmir,2019,4,TOTAL,489928,1929695997.8225975
goa,2019,4,TOTAL,1515272,2923460348.4994645
arunachal pradesh,2019,4,TOTAL,459475,1190573179.5272837
delhi,2019,4,TOTAL,80744997,129024467424.89062
uttarakhand,2019,4,TOTAL,7362116,12573706305.150612
puducherry,2020,1,TOTAL,1207921,2205277477.079584
tamil nadu,2020,1,TOTAL,66953473,116569686179.4346
uttar pradesh,2020,1,TOTAL,97239132,172416434960.69037
madhya pradesh,2020,1,TOTAL,79366746,126737281436.18526
andhra pradesh,2020,1,TOTAL,127677357,252737214289.0485
tripura,2020,1,TOTAL,924502,1588778806.3885012
lakshadweep,2020,1,TOTAL,5151,13502368.57450421
manipur,2020,1,TOTAL,818801,2598590380.8769474
maharashtra,2020,1,TOTAL,238944081,319995196718.0683
dadra & nagar haveli & daman & diu,2020,1,TOTAL,878579,1342763369.292519
meghalaya,2020,1,TOTAL,502283,1120134840.9078057
andaman & nicobar islands,2020,1,TOTAL,41298,161476312.2972747
haryana,2020,1,TOTAL,44036087,81976214558.24355
rajasthan,2020,1,TOTAL,102258812,190308238561.00217
ladakh,2020,1,TOTAL,116419,377639677.4457431
punjab,2020,1,TOTAL,15217784,31374185265.899654
assam,2020,1,TOTAL,8808860,20668428347.72898
jharkhand,2020,1,TOTAL,18282713,33611232153.269115
odisha,2020,1,TOTAL,53682307,91956798199.33679
bihar,2020,1,TOTAL,45081815,109256853527.24524
kerala,2020,1,TOTAL,15733522,26451084830.93425
karnataka,2020,1,TOTAL,271033890,353402054999.4004
chandigarh,2020,1,TOTAL,2262511,5126453070.016205
telangana,2020,1,TOTAL,199409525,371343780368.2118
himachal pradesh,2020,1,TOTAL,4144480,7419466751.122733
west bengal,2020,1,TOTAL,66250381,96653305190.9406
gujarat,2020,1,TOTAL,47326417,86995076621.90231
sikkim,2020,1,TOTAL,528118,1053476271.9444009
nagaland,2020,1,TOTAL,378051,894780028.7343724
mizoram,2020,1,TOTAL,153609,392077579.3496374
chhattisgarh,2020,1,TOTAL,19523991,32860597671.356686
jammu & kashmir,2020,1,TOTAL,921630,2937643176.534005
goa,2020,1,TOTAL,1881237,3410371231.9237647
arunachal pradesh,2020,1,TOTAL,567175,1381758681.3301477
delhi,2020,1,TOTAL,81747604,133616543642.58943
uttarakhand,2020,1,TOTAL,9131784,16158080258.987526
puducherry,2020,2,TOTAL,1033383,1960030980.4875922
tamil nadu,2020,2,TOTAL,51870110,95826508896.84135
uttar pradesh,2020,2,TOTAL,100851965,178744016130.31216
madhya pradesh,2020,2,TOTAL,76340573,147922015289.08447
andhra pradesh,2020,2,TOTAL,144917855,302583689746.5449
tripura,2020,2,TOTAL,1052520,1769175883.585958
lakshadweep,2020,2,TOTAL,7220,16942922.08594439
manipur,2020,2,TOTAL,1083068,3198936212.8055243
maharashtra,2020,2,TOTAL,184790761,296359517159.41614
dadra & nagar haveli & daman & diu,2020,2,TOTAL,973152,1302376453.8880572
meghalaya,2020,2,TOTAL,635395,1153735154.3383913
andaman & nicobar islands,2020,2,TOTAL,62962,169645001.41414702
haryana,2020,2,TOTAL,41781050,80711264923.94525
rajasthan,2020,2,TOTAL,101954656,193763273003.28284
ladakh,2020,2,TOTAL,155010,523792998.6520228
punjab,2020,2,TOTAL,14081294,30284654252.21334
assam,2020,2,TOTAL,10505199,19766300125.91926
